BNS Sections,IPC Sections,IPC Description
137(2),363,363.Punishment for kidnapping.
138,362,362.Abduction.
139,363A,"363A.Kidnapping or maiming a minor for purposes of
begging."
140,364,364.Kidnapping or abducting in order to murder.
140(2),364A,"364A.Kidnapping for ransom, etc."
140(3),365,365.Kidnapping or abducting with intent secretly and wrongfully to confine person.
140(4),367,"367. Kidnapping  or  abducting  in  order  to  subject
person to grievous hurt, slavery, etc."
141,366B,366B.Importation of girl from foreign country.
142,368,"368.Wrongfully      concealing      or      keeping      in
confinement, kidnapped or abducted person."
143,370,370.Trafficking of person.
144,370A,370A.Exploitation of a trafficked person
145,371,371.Habitual dealing in slaves.
146,374,374.Unlawful compulsory labour.
147,121,"121.Waging, or attempting to wage war, or abetting waging of war, against the Government of India."
148,121A,"121A. Conspiracy  to  commit  offences  punishable  by
section 121."
149,122,"122. Collecting  arms,  etc.,  with  intention  of  waging war against the Government of India."
150,123,"123. Concealing  with  intent  to  facilitate  design  to
wage war."
151,124,"124.Assaulting President, Governor, etc., with intent to  compel  or  restrain  the  exercise  of  any  lawful power."
152,New,New Section
153,125,"125.Waging war against any Asiatic Power in alliance
with the Government of India."
154,126,"126.Committing depredation on territories of Power
at peace with the Government of India."
155,127,127.Receiving property taken by war or depredation mentioned in sections 125 and 126.
156,128,"128. Public  servant  voluntarily  allowing  prisoner  of
state or war to escape."
157,129,129. Public    servant    negligently    suffering    such prisoner to escape.
158,130,"130. Aiding  escape  of,  rescuing  or  harbouring  such
prisoner."
159,131,"131. Abetting  mutiny,  or  attempting  to  seduce  a
soldier, sailor or airman from his duty."
160,132,"132. Abetment  of  mutiny, if  mutiny is committed  in consequence thereof."
161,133,"133.Abetment of assault by soldier, sailor or airman on  his  superior  officer,  when  in  execution  of  his
office."
162,134,"134.Abetment   of   such   assault,   if   the   assault committed."
163,135,"135.Abetment   of   desertion   of   soldier,   sailor   or
airman."
164,136,136.Harbouring deserter.
165,137,"137. Deserter  concealed  on  board  merchant  vessel
through negligence of master."
166,138,"138. Abetment  of  act  of  insubordination  by  soldier, sailor or airman."
167,139,139.Persons subject to certain Acts.
168,140,"140.Wearing garb or carrying token used by soldier,
sailor or airman."
169,171A,"171A.“Candidate”, “Electoral right” defined."
170,171B,171B.Bribery.
171,171C,171C.Undue influence at elections.
172,171D,171D.Personation at elections.
173,171E,171E.Punishment for bribery.
174,171F,"171F.Punishment for undue influence or personation
at an election."
175,171G,"171G. False    statement    in    connection    with    an
election."
176,171H,"171H. Illegal    payments    in    connection    with    an
election."
177,171-I,171-I.Failure to keep election accounts.
178,231,"231.Counterfeiting coin.255.Counterfeiting Government stamp.
489A.Counterfeiting currency-notes or bank-notes."
178(2),230,230.“Coin” defined.
178(3),Explanation,Explanation to 255
178(4),Explanation,Explanation to 231
